Permutation(Paper: 2009_1749555083308920_manuscript, Method: t-test, Assumption: linearity)
Permutation(Paper: 2009_5314890003318130_manuscript, Method: t-test, Assumption: linearity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2009_8784070743055067_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2010_1280705199445370_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1280705199445370_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1280705199445370_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1715229527465619_manuscript, Method: t-test, Assumption: homoscedasticity)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: linear regression, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_1956147576498468_manuscript, Method: ANOVA, Assumption: normality)
Permutation(Paper: 2010_2059310386362730_manuscript, Method: linear regression, Assumption: normality)
